id,order_id,order_no,food_name,price,create_time,hotel_id,order_date
40399,1011561,51459480668152,鲜豆皮,6,4/1/16 11:17,1012718,4/1/16
40400,1011561,51459480668152,鲜鹅肠（空运）,30,4/1/16 11:17,1012718,4/1/16
40401,1011561,51459480668152,山药,10,4/1/16 11:17,1012718,4/1/16
40402,1011561,51459480668152,醪糟汤圆,16,4/1/16 11:17,1012718,4/1/16
40403,1011561,51459480668152,夫人·麻辣牛肉,32,4/1/16 11:17,1012718,4/1/16
40404,1011561,51459480668152,蛋炒饭（份）,12,4/1/16 11:17,1012718,4/1/16
40405,1011561,51459480668152,蒿子秆,8,4/1/16 11:17,1012718,4/1/16
40406,1011561,51459480668152,香油碟（空运）,6,4/1/16 11:17,1012718,4/1/16
40407,1011561,51459480668152,油豆皮,8,4/1/16 11:17,1012718,4/1/16
40408,1011561,51459480668152,牛油红锅2人,19,4/1/16 11:17,1012718,4/1/16
40409,1011561,51459480668152,千层肚/百叶（空运）,28,4/1/16 11:17,1012718,4/1/16
40410,1011561,51459480668152,菠菜,8,4/1/16 11:17,1012718,4/1/16
40411,1011561,51459480668152,维怡豆奶（空运）,25,4/1/16 11:17,1012718,4/1/16
40412,1011561,51459480668152,夫人·秘制麻酱,6,4/1/16 11:17,1012718,4/1/16
40452,1011580,51459482334302,夫人·腰花,20,4/1/16 11:45,1012718,4/1/16
40453,1011580,51459482334302,北冰洋,4,4/1/16 11:45,1012718,4/1/16
40454,1011580,51459482334302,牛油红锅3-4人,29,4/1/16 11:45,1012718,4/1/16
40455,1011580,51459482334302,土鳝鱼,26,4/1/16 11:45,1012718,4/1/16
40456,1011580,51459482334302,油条,5,4/1/16 11:45,1012718,4/1/16
40457,1011580,51459482334302,山药,10,4/1/16 11:45,1012718,4/1/16
40458,1011580,51459482334302,平菇,6,4/1/16 11:45,1012718,4/1/16
40459,1011580,51459482334302,夫人·麻辣牛肉,32,4/1/16 11:45,1012718,4/1/16
40460,1011580,51459482334302,蒿子秆,8,4/1/16 11:45,1012718,4/1/16
40461,1011580,51459482334302,绿色毛肚（空运）,26,4/1/16 11:45,1012718,4/1/16
40462,1011580,51459482334302,极品肥肠,26,4/1/16 11:45,1012718,4/1/16
40463,1011580,51459482334302,雪花勇闯天涯,6,4/1/16 11:45,1012718,4/1/16
40464,1011580,51459482334302,油豆皮,8,4/1/16 11:45,1012718,4/1/16
40465,1011580,51459482334302,脑花,10,4/1/16 11:45,1012718,4/1/16
40466,1011580,51459482334302,宽粉（空运）,10,4/1/16 11:45,1012718,4/1/16
40467,1011580,51459482334302,午餐肉(梅林),16,4/1/16 11:45,1012718,4/1/16
40468,1011580,51459482334302,秘制鲜虾滑,28,4/1/16 11:45,1012718,4/1/16
40469,1011580,51459482334302,嫩牛肉,28,4/1/16 11:45,1012718,4/1/16
40470,1011580,51459482334302,鲜鸭血,12,4/1/16 11:45,1012718,4/1/16
40471,1011581,51459482355554,夫人·腰花,20,4/1/16 11:45,1012718,4/1/16
40472,1011581,51459482355554,北冰洋,4,4/1/16 11:45,1012718,4/1/16
40473,1011581,51459482355554,牛油红锅3-4人,29,4/1/16 11:45,1012718,4/1/16
40474,1011581,51459482355554,土鳝鱼,26,4/1/16 11:45,1012718,4/1/16
40475,1011581,51459482355554,油条,5,4/1/16 11:45,1012718,4/1/16
40476,1011581,51459482355554,山药,10,4/1/16 11:45,1012718,4/1/16
40477,1011581,51459482355554,平菇,6,4/1/16 11:45,1012718,4/1/16
40478,1011581,51459482355554,夫人·麻辣牛肉,32,4/1/16 11:45,1012718,4/1/16
40479,1011581,51459482355554,蒿子秆,8,4/1/16 11:45,1012718,4/1/16
40480,1011581,51459482355554,绿色毛肚（空运）,26,4/1/16 11:45,1012718,4/1/16
40481,1011581,51459482355554,极品肥肠,26,4/1/16 11:45,1012718,4/1/16
40482,1011581,51459482355554,雪花勇闯天涯,6,4/1/16 11:45,1012718,4/1/16
40483,1011581,51459482355554,油豆皮,8,4/1/16 11:45,1012718,4/1/16
40484,1011581,51459482355554,脑花,10,4/1/16 11:45,1012718,4/1/16
40485,1011581,51459482355554,宽粉（空运）,10,4/1/16 11:45,1012718,4/1/16
40486,1011581,51459482355554,午餐肉(梅林),16,4/1/16 11:45,1012718,4/1/16
40487,1011581,51459482355554,秘制鲜虾滑,28,4/1/16 11:45,1012718,4/1/16
